product_id,name,product_type,sku,price,min_price,max_price,qty,collection_id,collection,category,category_name,store_code,gender
106682,Men's Ring Gorgeous Glory 8 mm,wedding_ring,GWD-H14319146-M,902.000000,360.000000,9057.000000,1,4090,twinset,0,,glgb,men
99083,Wedding Ring Embrace Feeling 4 mm,wedding_ring,GWD-M1014,766.000000,251.000000,8300.000000,1,4396,memoire,688,Wedding Rings,glgb,False
102079,Kid's Pendant Darifa,pendant,KPOE-05,215.000000,161.000000,1735.000000,1,5248,initial_&_name,61,Necklaces,glgb,False
110692,Women's Bangle Tamelia Small,bracelet,H36445-4-SMALL,1996.000000,798.000000,5583.000000,1,5249,cuff_bracelets,0,,glgb,women
97807,Engagement Ring Samarie,ring,Samarie,754.000000,505.000000,6084.000000,1,5170,design_solitaire,605,Engagement Rings,glgb,women
96705,Men's ring Alluring Look 10mm,wedding_ring,GWD-E10220,1549.000000,406.000000,15554.000000,1,4297,exclusive,0,,glgb,men
105989,Women's Wedding Ring Wondrous Touch 5 mm,wedding_ring,GWD-N1115-5-W,555.000000,222.000000,6628.000000,1,4090,twinset,689,Women’s Wedding Rings,glgb,women
95026,Women's Earring Miwate,earring,GLE100,790.000000,553.000000,6334.000000,1,5473,drops_&_dangle,602,Earrings,glgb,women
91360,Women's Wedding Ring Ceramic Night,wedding_ring,DSC_8885,133.000000,133.000000,330.000000,1,4659,ceramic_&_gold,689,Women’s Wedding Rings,glgb,women
103738,Women's ring Dazzling Molly 8 mm,wedding_ring,GWD-H6818018-W,894.000000,357.000000,9306.000000,1,4090,twinset,0,,glgb,women
101429,GLAMIRA Knuckle Ring Thira,knuckle_ring,THIRA,352.000000,281.000000,3376.000000,1,,,751,Knuckle Rings,glgb,False
110628,Engagement Ring Cindy 1.0 crt,ring,cindy1,822.000000,624.000000,95251.000000,1,4377,halo,605,Engagement Rings,glgb,women
97499,Kid's Necklace Starburst,necklace,EPK-45,173.000000,168.000000,1471.000000,1,5155,animals,61,Necklaces,glgb,False
